H0 [W],Sommer Werktag,Fall/Spring Sonntag,Winter Samstag
00:15,86.3,93.4,70.8
00:30,76.9,86.8,68.2
00:45,68.8,81.2,65.9
01:00,62.4,75.7,63.3
01:15,58,70.1,59.5
01:30,55.3,64.5,55
01:45,53.6,59.3,50.5
02:00,52.4,54.9,46.6
02:15,51.3,51.7,43.9
02:30,50.3,49.4,42.3
02:45,49.2,47.8,41.4
03:00,48.3,46.6,40.8
03:15,47.5,45.5,40.3
03:30,46.9,44.5,39.9
03:45,46.5,43.8,39.5
04:00,46.6,43.3,39.1
04:15,47.1,43.1,38.8
04:30,48,43.1,38.5
04:45,49.3,43.2,38.3
05:00,50.8,43.3,38.3
05:15,52.7,43.3,38.5
05:30,55.6,43.3,39.1
05:45,60.5,43.2,40.3
06:00,68.2,43.3,42.4
06:15,79.2,43.5,45.6
06:30,92,44.3,49.9
06:45,104.7,46,55.3
07:00,115.7,49.1,61.6
07:15,123.5,53.9,68.9
07:30,128.6,60.4,77.1
07:45,132,68.8,86.1
08:00,134.8,79.1,95.7
08:15,137.8,91.1,105.8
08:30,140.7,104.3,115.8
08:45,143.2,118,124.9
09:00,144.8,131.5,132.3
09:15,145.3,144.2,137.6
09:30,144.9,155.5,141.1
09:45,143.8,165.3,143.3
10:00,142.3,173.1,144.8
10:15,140.8,178.8,146
10:30,139.5,183.1,147.2
10:45,138.5,187,148.4
11:00,138.2,191.4,149.8
11:15,138.6,197,151.5
11:30,140.1,203,153.5
11:45,142.6,208.5,156
12:00,146.5,212.2,159
12:15,151.5,213.5,162.4
12:30,156.7,211.8,165.8
12:45,160.7,207,168.4
13:00,162.3,198.9,169.8
13:15,160.5,187.6,169.4
13:30,156.1,174.6,167.6
13:45,150.2,161.7,164.8
14:00,144,150.6,161.5
14:15,138.4,142.8,158.1
14:30,133.6,137.6,154.9
14:45,129.4,133.9,151.8
15:00,125.7,130.7,149
15:15,122.4,127.1,146.5
15:30,119.6,123.1,144.4
15:45,117.4,119,142.7
16:00,115.7,114.9,141.5
16:15,114.6,111,140.9
16:30,114.2,107.7,141.7
16:45,114.6,105.6,144.9
17:00,115.7,104.9,151.5
17:15,117.6,106,161.9
17:30,120.3,108.8,174.6
17:45,123.9,113.2,187.4
18:00,128.2,119,198.1
18:15,133.2,126,205.2
18:30,138.9,133.7,209.1
18:45,145.1,141.5,211.1
19:00,151.5,149,212.2
19:15,157.9,155.5,213.2
19:30,163.8,160.6,213
19:45,168.3,163.6,210.4
20:00,170.6,164,203.9
20:15,170.4,161.5,192.9
20:30,168.3,157.1,179
20:45,165.3,152.2,164.4
21:00,162.3,148.2,151.5
21:15,160.1,145.9,141.9
21:30,158.4,144.7,135.3
21:45,156.8,143.6,131
22:00,154.8,141.5,128.2
22:15,151.9,137.5,126.1
22:30,147.9,131.8,124.1
22:45,142.5,124.7,121.6
23:00,135.7,116.5,118.2
23:15,127.2,107.6,113.4
23:30,117.5,98.4,107.4
23:45,107.1,89.2,100.8
00:00,96.5,80.7,94.1
